id,error_message,error_code,occurred_at,user_id,ip_address,url,http_method,user_agent,stack_trace
17,Item not available in stock,404,2023-10-16 19:18:07.101284,148,119.188.162.155,https://www.apparentintelligence.com/product-detail,POST,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_2; rv:1.9.5.20) Gecko/2020-01-29 06:42:19 Firefox/8.0,"Traceback (most recent call last):
  File ""/app/search.py"", line 287, in <module>
    raise Exception('User session expired')
Exception: User session expired"
18,Search query failed,500,2023-10-16 20:03:06.101284,31,221.187.27.9,https://www.apparentintelligence.com/search,GET,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2; rv:1.9.6.20) Gecko/2010-03-25 20:07:55 Firefox/3.8,"Traceback (most recent call last):
  File ""/app/wishlist.py"", line 278, in <module>
    raise Exception('User authentication failed')
Exception: User authentication failed"
19,Search query failed,500,2023-10-17 00:11:18.101284,120,213.115.172.96,https://www.apparentintelligence.com/search,DELETE,Opera/8.57.(X11; Linux i686; gv-GB) Presto/2.9.171 Version/12.00,"Traceback (most recent call last):
  File ""/app/order-history.py"", line 418, in <module>
    raise Exception('Cart update failed')
Exception: Cart update failed"
20,Item not available in stock,404,2023-10-17 02:23:44.101284,29,56.111.132.239,https://www.apparentintelligence.com/product-detail,DELETE,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 4.0; Trident/5.0),"Traceback (most recent call last):
  File ""/app/order-history.py"", line 149, in <module>
    raise Exception('Cart update failed')
Exception: Cart update failed"
21,Cart update failed,400,2023-10-17 08:15:17.101284,21,161.70.116.9,https://www.apparentintelligence.com/cart,POST,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_3 rv:6.0; os-RU) AppleWebKit/532.13.7 (KHTML, like Gecko) Version/5.1 Safari/532.13.7","Traceback (most recent call last):
  File ""/app/login.py"", line 186, in <module>
    raise Exception('Cart update failed')
Exception: Cart update failed"
22,Failed to load order history,500,2023-10-17 10:16:43.101284,182,219.41.143.74,https://www.apparentintelligence.com/order-history,GET,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_0 rv:3.0; xh-ZA) AppleWebKit/533.41.4 (KHTML, like Gecko) Version/5.0.4 Safari/533.41.4","Traceback (most recent call last):
  File ""/app/wishlist.py"", line 387, in <module>
    raise Exception('User authentication failed')
Exception: User authentication failed"
23,Search query failed,500,2023-10-17 11:43:53.101284,131,179.31.136.116,https://www.apparentintelligence.com/search,PUT,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/2018-12-28 21:10:30 Firefox/3.6.11,"Traceback (most recent call last):
  File ""/app/cart.py"", line 151, in <module>
    raise Exception('Database connection error')
Exception: Database connection error"
24,Item not available in stock,404,2023-10-17 14:51:10.101284,109,115.232.143.151,https://www.apparentintelligence.com/product-detail,PUT,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/533.26.7 (KHTML, like Gecko) Version/5.1 Safari/533.26.7","Traceback (most recent call last):
  File ""/app/product-listing.py"", line 219, in <module>
    raise Exception('Cart update failed')
Exception: Cart update failed"
25,Cart update failed,400,2023-10-17 17:30:21.101284,41,51.7.143.235,https://www.apparentintelligence.com/cart,GET,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_3 rv:5.0; ckb-IQ) AppleWebKit/531.49.4 (KHTML, like Gecko) Version/4.0 Safari/531.49.4","Traceback (most recent call last):
  File ""/app/wishlist.py"", line 226, in <module>
    raise Exception('User session expired')
Exception: User session expired"
26,Item not available in stock,404,2023-10-17 21:57:24.101284,67,220.56.146.148,https://www.apparentintelligence.com/product-detail,PUT,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_5 rv:6.0; am-ET) AppleWebKit/535.14.7 (KHTML, like Gecko) Version/5.0.3 Safari/535.14.7","Traceback (most recent call last):
  File ""/app/cart.py"", line 412, in <module>
    raise Exception('Database connection error')
Exception: Database connection error"
27,Search query failed,500,2023-10-18 02:56:29.101284,106,210.137.49.128,https://www.apparentintelligence.com/search,POST,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1; rv:1.9.6.20) Gecko/2010-09-10 16:52:03 Firefox/3.8,"Traceback (most recent call last):
  File ""/app/product-detail.py"", line 191, in <module>
    raise Exception('User session expired')
Exception: User session expired"
28,Cart update failed,400,2023-10-18 04:04:02.101284,23,193.26.32.186,https://www.apparentintelligence.com/cart,POST,Opera/8.21.(X11; Linux x86_64; unm-US) Presto/2.9.177 Version/11.00,"Traceback (most recent call last):
  File ""/app/search.py"", line 454, in <module>
    raise Exception('Payment gateway timeout')
Exception: Payment gateway timeout"
29,Search query failed,500,2023-10-18 10:03:32.101284,16,161.127.114.220,https://www.apparentintelligence.com/search,GET,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/4.1),"Traceback (most recent call last):
  File ""/app/order-history.py"", line 415, in <module>
    raise Exception('Failed to load checkout page')
Exception: Failed to load checkout page"
30,Failed to load product details,500,2023-10-18 15:00:53.101284,23,165.229.62.96,https://www.apparentintelligence.com/product-listing,POST,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2021-07-07 15:09:32 Firefox/3.8,"Traceback (most recent call last):
  File ""/app/product-detail.py"", line 356, in <module>
    raise Exception('Order placement timeout')
Exception: Order placement timeout"
31,Item not available in stock,404,2023-10-18 20:10:47.101284,98,136.39.155.16,https://www.apparentintelligence.com/product-detail,POST,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/532.24.1 (KHTML, like Gecko) Version/5.0.2 Safari/532.24.1","Traceback (most recent call last):
  File ""/app/product-detail.py"", line 254, in <module>
    raise Exception('Database connection error')
Exception: Database connection error"
32,Failed to load product details,500,2023-10-19 00:13:04.101284,179,100.134.35.142,https://www.apparentintelligence.com/product-listing,GET,Mozilla/5.0 (Windows NT 6.2; nb-NO; rv:1.9.0.20) Gecko/2022-06-10 00:01:05 Firefox/3.6.19,"Traceback (most recent call last):
  File ""/app/product-listing.py"", line 69, in <module>
    raise Exception('Failed to load checkout page')
Exception: Failed to load checkout page"
33,Payment gateway timeout,504,2023-10-19 01:31:29.101284,153,60.64.164.123,https://www.apparentintelligence.com/checkout,PUT,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/40.0.896.0 Safari/533.1","Traceback (most recent call last):
  File ""/app/wishlist.py"", line 398, in <module>
    raise Exception('Item not available in stock')
Exception: Item not available in stock"
34,User session expired,401,2023-10-19 09:07:39.101284,105,198.166.105.111,https://www.apparentintelligence.com/login,GET,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.01; Trident/5.1),"Traceback (most recent call last):
  File ""/app/account.py"", line 142, in <module>
    raise Exception('User authentication failed')
Exception: User authentication failed"
35,Failed to load product details,500,2023-10-19 10:55:27.101284,140,199.226.87.104,https://www.apparentintelligence.com/product-listing,GET,"Mozilla/5.0 (Linux; Android 1.0) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/29.0.820.0 Safari/533.2","Traceback (most recent call last):
  File ""/app/checkout.py"", line 67, in <module>
    raise Exception('User session expired')
Exception: User session expired"
36,Search query failed,500,2023-10-19 16:36:11.101284,84,101.118.68.175,https://www.apparentintelligence.com/search,PUT,Opera/8.18.(X11; Linux x86_64; ayc-PE) Presto/2.9.175 Version/10.00,"Traceback (most recent call last):
  File ""/app/login.py"", line 78, in <module>
    raise Exception('Item not available in stock')
Exception: Item not available in stock"
37,User session expired,401,2023-10-19 17:16:18.101284,145,201.175.40.213,https://www.apparentintelligence.com/login,POST,Mozilla/5.0 (Windows NT 5.2; sid-ET; rv:1.9.0.20) Gecko/2020-02-11 19:41:10 Firefox/3.8,"Traceback (most recent call last):
  File ""/app/login.py"", line 328, in <module>
    raise Exception('Cart update failed')
Exception: Cart update failed"
38,Cart update failed,400,2023-10-19 22:11:56.101284,194,111.215.21.152,https://www.apparentintelligence.com/cart,PUT,"Mozilla/5.0 (Linux; Android 2.3.6) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/61.0.817.0 Safari/532.1","Traceback (most recent call last):
  File ""/app/wishlist.py"", line 176, in <module>
    raise Exception('Failed to load product details')
Exception: Failed to load product details"
39,Cart update failed,400,2023-10-20 03:58:35.101284,104,53.137.145.64,https://www.apparentintelligence.com/cart,GET,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_9) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/18.0.890.0 Safari/534.2","Traceback (most recent call last):
  File ""/app/login.py"", line 274, in <module>
    raise Exception('Item not available in stock')
Exception: Item not available in stock"
40,User authentication failed,401,2023-10-20 04:33:14.101284,21,176.175.202.79,https://www.apparentintelligence.com/login,POST,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/531.31.7 (KHTML, like Gecko) Version/5.0 Safari/531.31.7","Traceback (most recent call last):
  File ""/app/product-listing.py"", line 153, in <module>
    raise Exception('Failed to load checkout page')
Exception: Failed to load checkout page"
41,Failed to add item to wishlist,500,2023-10-20 07:53:38.101284,181,150.162.247.59,https://www.apparentintelligence.com/wishlist,POST,Mozilla/5.0 (Windows NT 5.0; bo-IN; rv:1.9.0.20) Gecko/2024-06-02 07:48:14 Firefox/3.8,"Traceback (most recent call last):
  File ""/app/product-detail.py"", line 288, in <module>
    raise Exception('User authentication failed')
Exception: User authentication failed"
42,Cart update failed,400,2023-10-20 09:02:08.101284,7,182.104.27.230,https://www.apparentintelligence.com/cart,POST,Opera/9.90.(Windows 95; he-IL) Presto/2.9.163 Version/12.00,"Traceback (most recent call last):
  File ""/app/product-detail.py"", line 343, in <module>
    raise Exception('Cart update failed')
Exception: Cart update failed"
43,User session expired,401,2023-10-20 09:16:31.101284,71,130.115.22.151,https://www.apparentintelligence.com/login,DELETE,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; mn-MN) AppleWebKit/533.7.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B113 Safari/6533.7.5","Traceback (most recent call last):
  File ""/app/order-history.py"", line 191, in <module>
    raise Exception('Failed to load product details')
Exception: Failed to load product details"
44,Failed to add item to wishlist,500,2023-10-20 11:15:35.101284,61,189.44.95.81,https://www.apparentintelligence.com/wishlist,DELETE,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/2013-09-01 14:48:27 Firefox/3.8,"Traceback (most recent call last):
  File ""/app/search.py"", line 211, in <module>
    raise Exception('Invalid coupon code')
Exception: Invalid coupon code"
45,Cart update failed,400,2023-10-20 17:04:38.101284,188,95.164.7.31,https://www.apparentintelligence.com/cart,PUT,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/532.13.3 (KHTML, like Gecko) Version/4.0.4 Safari/532.13.3","Traceback (most recent call last):
  File ""/app/wishlist.py"", line 382, in <module>
    raise Exception('Order placement timeout')
Exception: Order placement timeout"
46,Failed to load product details,500,2023-10-20 21:09:42.101284,62,26.228.153.69,https://www.apparentintelligence.com/product-listing,PUT,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/534.5.3 (KHTML, like Gecko) Version/5.1 Safari/534.5.3","Traceback (most recent call last):
  File ""/app/order-history.py"", line 157, in <module>
    raise Exception('Payment gateway timeout')
Exception: Payment gateway timeout"
47,User session expired,401,2023-10-20 21:21:01.101284,107,221.202.18.165,https://www.apparentintelligence.com/login,PUT,Opera/9.68.(Windows NT 5.01; ru-UA) Presto/2.9.162 Version/11.00,"Traceback (most recent call last):
  File ""/app/cart.py"", line 428, in <module>
    raise Exception('Order placement timeout')
Exception: Order placement timeout"
48,Failed to load order history,500,2023-10-21 06:17:57.101284,80,175.201.226.80,https://www.apparentintelligence.com/order-history,POST,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 10.0; Trident/4.0),"Traceback (most recent call last):
  File ""/app/wishlist.py"", line 420, in <module>
    raise Exception('Database connection error')
Exception: Database connection error"
49,Failed to load order history,500,2023-10-21 19:16:28.101284,149,139.70.89.190,https://www.apparentintelligence.com/order-history,GET,Mozilla/5.0 (compatible; MSIE 8.0; Windows 95; Trident/4.0),"Traceback (most recent call last):
  File ""/app/product-detail.py"", line 210, in <module>
    raise Exception('Invalid coupon code')
Exception: Invalid coupon code"
50,Failed to load order history,500,2023-10-21 22:48:22.101284,101,119.75.224.139,https://www.apparentintelligence.com/order-history,POST,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/534.11.2 (KHTML, like Gecko) Version/5.0 Safari/534.11.2","Traceback (most recent call last):
  File ""/app/product-detail.py"", line 356, in <module>
    raise Exception('Invalid coupon code')
Exception: Invalid coupon code"
51,User authentication failed,401,2023-10-22 00:23:37.101284,164,209.20.163.233,https://www.apparentintelligence.com/account,PUT,Opera/9.17.(Windows NT 4.0; cv-RU) Presto/2.9.179 Version/12.00,"Traceback (most recent call last):
  File ""/app/wishlist.py"", line 184, in <module>
    raise Exception('User session expired')
Exception: User session expired"
52,Failed to load product details,500,2023-10-22 06:04:38.101284,167,199.181.199.147,https://www.apparentintelligence.com/product-listing,GET,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0),"Traceback (most recent call last):
  File ""/app/checkout.py"", line 392, in <module>
    raise Exception('User authentication failed')
Exception: User authentication failed"
53,Cart update failed,400,2023-10-22 17:57:35.101284,38,218.132.163.30,https://www.apparentintelligence.com/cart,DELETE,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1),"Traceback (most recent call last):
  File ""/app/checkout.py"", line 150, in <module>
    raise Exception('Failed to load product details')
Exception: Failed to load product details"
54,Item not available in stock,404,2023-10-22 18:31:19.101284,145,92.28.55.4,https://www.apparentintelligence.com/product-detail,POST,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) CriOS/25.0.831.0 Mobile/44J602 Safari/535.0","Traceback (most recent call last):
  File ""/app/login.py"", line 301, in <module>
    raise Exception('Failed to load product details')
Exception: Failed to load product details"
55,User session expired,401,2023-10-22 22:39:44.101284,164,68.56.148.146,https://www.apparentintelligence.com/login,POST,"Mozilla/5.0 (Windows NT 5.01) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/38.0.824.0 Safari/534.0","Traceback (most recent call last):
  File ""/app/order-history.py"", line 239, in <module>
    raise Exception('Cart update failed')
Exception: Cart update failed"
56,Item not available in stock,404,2023-10-23 13:45:47.101284,9,196.24.75.253,https://www.apparentintelligence.com/product-detail,POST,"Mozilla/5.0 (Windows; U; Windows NT 6.0) AppleWebKit/534.13.5 (KHTML, like Gecko) Version/4.0.5 Safari/534.13.5","Traceback (most recent call last):
  File ""/app/search.py"", line 400, in <module>
    raise Exception('Payment gateway timeout')
Exception: Payment gateway timeout"
57,Failed to load product details,500,2023-10-23 16:39:28.101284,177,121.128.255.221,https://www.apparentintelligence.com/product-listing,PUT,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_9; rv:1.9.6.20) Gecko/2014-10-04 22:31:43 Firefox/6.0,"Traceback (most recent call last):
  File ""/app/order-history.py"", line 61, in <module>
    raise Exception('User authentication failed')
Exception: User authentication failed"
58,Failed to add item to wishlist,500,2023-10-23 22:12:19.101284,195,59.196.40.32,https://www.apparentintelligence.com/wishlist,POST,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/2016-08-31 09:43:55 Firefox/3.8,"Traceback (most recent call last):
  File ""/app/search.py"", line 233, in <module>
    raise Exception('User session expired')
Exception: User session expired"
59,Failed to add item to wishlist,500,2023-10-24 03:29:45.101284,69,209.67.45.96,https://www.apparentintelligence.com/wishlist,PUT,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_4 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) FxiOS/11.3a9489.0 Mobile/35R063 Safari/532.0","Traceback (most recent call last):
  File ""/app/search.py"", line 457, in <module>
    raise Exception('Cart update failed')
Exception: Cart update failed"
60,Failed to load product details,500,2023-10-24 06:19:00.101284,96,140.181.212.50,https://www.apparentintelligence.com/product-listing,DELETE,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/531.39.3 (KHTML, like Gecko) Version/4.0 Safari/531.39.3","Traceback (most recent call last):
  File ""/app/wishlist.py"", line 483, in <module>
    raise Exception('Order placement timeout')
Exception: Order placement timeout"
61,Item not available in stock,404,2023-10-24 08:23:35.101284,171,144.231.180.198,https://www.apparentintelligence.com/product-detail,PUT,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.0),"Traceback (most recent call last):
  File ""/app/login.py"", line 180, in <module>
    raise Exception('Cart update failed')
Exception: Cart update failed"
62,User session expired,401,2023-10-24 17:28:12.101284,2,71.30.10.27,https://www.apparentintelligence.com/login,PUT,"Mozilla/5.0 (iPad; CPU iPad OS 14_2_1 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) FxiOS/12.9l6387.0 Mobile/60K317 Safari/532.0","Traceback (most recent call last):
  File ""/app/login.py"", line 335, in <module>
    raise Exception('Cart update failed')
Exception: Cart update failed"
63,Order placement timeout,504,2023-10-24 19:32:56.101284,52,141.187.29.193,https://www.apparentintelligence.com/checkout,DELETE,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2 rv:4.0; da-DK) AppleWebKit/532.46.7 (KHTML, like Gecko) Version/5.0.1 Safari/532.46.7","Traceback (most recent call last):
  File ""/app/order-history.py"", line 211, in <module>
    raise Exception('Item not available in stock')
Exception: Item not available in stock"
64,User authentication failed,401,2023-10-24 22:17:40.101284,98,175.169.79.3,https://www.apparentintelligence.com/login,PUT,Opera/8.76.(Windows NT 5.1; csb-PL) Presto/2.9.176 Version/10.00,"Traceback (most recent call last):
  File ""/app/checkout.py"", line 187, in <module>
    raise Exception('Database connection error')
Exception: Database connection error"
65,Search query failed,500,2023-10-25 08:14:43.101284,129,43.41.56.11,https://www.apparentintelligence.com/search,PUT,Opera/9.21.(Windows 98; Win 9x 4.90; ht-HT) Presto/2.9.169 Version/11.00,"Traceback (most recent call last):
  File ""/app/wishlist.py"", line 448, in <module>
    raise Exception('User session expired')
Exception: User session expired"
66,Order placement timeout,504,2023-10-25 11:17:38.101284,75,206.143.30.219,https://www.apparentintelligence.com/checkout,PUT,Opera/9.10.(X11; Linux x86_64; eu-FR) Presto/2.9.183 Version/11.00,"Traceback (most recent call last):
  File ""/app/login.py"", line 41, in <module>
    raise Exception('Database connection error')
Exception: Database connection error"
67,Item not available in stock,404,2023-10-25 19:43:42.101284,190,159.41.43.42,https://www.apparentintelligence.com/product-detail,GET,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_6_9) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/20.0.867.0 Safari/535.2","Traceback (most recent call last):
  File ""/app/product-detail.py"", line 73, in <module>
    raise Exception('Database connection error')
Exception: Database connection error"
68,Item not available in stock,404,2023-10-25 20:36:30.101284,31,136.32.57.208,https://www.apparentintelligence.com/product-detail,DELETE,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/534.22.4 (KHTML, like Gecko) Version/4.0.2 Safari/534.22.4","Traceback (most recent call last):
  File ""/app/wishlist.py"", line 123, in <module>
    raise Exception('Payment gateway timeout')
Exception: Payment gateway timeout"
69,Failed to load product details,500,2023-10-25 20:57:20.101284,33,102.154.235.130,https://www.apparentintelligence.com/product-listing,POST,"Mozilla/5.0 (Linux; Android 2.1) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/40.0.875.0 Safari/531.0","Traceback (most recent call last):
  File ""/app/product-detail.py"", line 117, in <module>
    raise Exception('Order placement timeout')
Exception: Order placement timeout"
70,Search query failed,500,2023-10-25 23:35:43.101284,138,66.23.90.170,https://www.apparentintelligence.com/search,DELETE,Opera/9.45.(Windows 95; ast-ES) Presto/2.9.160 Version/11.00,"Traceback (most recent call last):
  File ""/app/cart.py"", line 385, in <module>
    raise Exception('User authentication failed')
Exception: User authentication failed"
71,Order placement timeout,504,2023-10-26 00:05:14.101284,39,90.197.1.152,https://www.apparentintelligence.com/checkout,GET,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_0; rv:1.9.4.20) Gecko/2020-01-13 00:52:31 Firefox/7.0,"Traceback (most recent call last):
  File ""/app/checkout.py"", line 235, in <module>
    raise Exception('Database connection error')
Exception: Database connection error"
72,Failed to load product details,500,2023-10-26 01:08:44.101284,5,167.38.232.237,https://www.apparentintelligence.com/product-listing,GET,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.01; Trident/5.1),"Traceback (most recent call last):
  File ""/app/cart.py"", line 460, in <module>
    raise Exception('Database connection error')
Exception: Database connection error"
73,Item not available in stock,404,2023-10-26 02:43:37.101284,185,135.189.87.172,https://www.apparentintelligence.com/product-detail,POST,Mozilla/5.0 (Windows NT 5.1; vi-VN; rv:1.9.0.20) Gecko/2017-11-07 12:00:58 Firefox/9.0,"Traceback (most recent call last):
  File ""/app/account.py"", line 135, in <module>
    raise Exception('Cart update failed')
Exception: Cart update failed"
74,Order placement timeout,504,2023-10-26 14:33:53.101284,3,128.136.35.130,https://www.apparentintelligence.com/checkout,GET,Opera/9.92.(Windows NT 6.1; is-IS) Presto/2.9.174 Version/12.00,"Traceback (most recent call last):
  File ""/app/cart.py"", line 200, in <module>
    raise Exception('Item not available in stock')
Exception: Item not available in stock"
75,Cart update failed,400,2023-10-26 16:31:47.101284,17,132.212.247.181,https://www.apparentintelligence.com/cart,POST,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/36.0.883.0 Safari/533.0","Traceback (most recent call last):
  File ""/app/account.py"", line 128, in <module>
    raise Exception('Failed to load checkout page')
Exception: Failed to load checkout page"
